  33.71								
 165								
 577320463								
Year Mnth Day Hr	Dayl(s)	PRCP(mm/day)	SRAD(W/m2)	SWE(mm)	Tmax(C)	Tmin(C)	Vp(Pa)	DrainageDensity
1984 03 05 12	41126.4	12.32	317.95	0	14.14	14.14	1011.73	0.65
1984 03 06 12	41126.4	2.31	342.88	0	10.06	10.06	764.83	0.65
1984 03 07 12	41472	0.03	460.29	0	4.04	4.04	510.62	0.65
1984 03 08 12	41472	0	484.56	0	5.9	5.9	549.74	0.65
1984 03 09 12	41817.6	0.86	402.68	0	6.12	6.12	508.85	0.65
1984 03 10 12	41817.6	0.93	290.19	0	4.23	4.23	523.14	0.65
1984 03 11 12	41817.6	0.22	411.83	0	3.25	3.25	543.97	0.65
1984 03 12 12	42163.2	0.6	358.68	0	5.81	5.81	635.65	0.65
1984 03 13 12	42163.2	0.24	412.9	0	10.43	10.43	809.12	0.65
1984 03 14 12	42163.2	0.01	509.94	0	11.86	11.86	813.12	0.65
1984 03 15 12	42508.8	0.2	379.14	0	14.87	14.87	990.26	0.65
1984 03 16 12	42508.8	9.26	357.02	0	18.04	18.04	1283.8	0.65
1984 03 17 12	42844.83	4.69	310.71	0	18.84	18.84	1451.34	0.65
1984 03 18 12	42854.4	6.99	344.02	0	18.3	18.3	1403.59	0.65
1984 03 19 12	42854.4	12.53	342.49	0	19.17	19.17	1400.07	0.65
1984 03 20 12	43200	5.67	374.58	0	15.56	15.56	1017.61	0.65
1984 03 21 12	43200	0.74	452.1	0	7.6	7.6	663.57	0.65
1984 03 22 12	43200	0	525.29	0	7.75	7.75	658.99	0.65
1984 03 23 12	43545.6	3.6	420.26	0	11.77	11.77	813.58	0.65
1984 03 24 12	43545.6	6.05	383.65	0	14.25	14.25	953.07	0.65
1984 03 25 12	43555.17	1.64	438.53	0	12.69	12.69	905.87	0.65
1984 03 26 12	43891.2	8.34	386.78	0	10.73	10.73	855.68	0.65
1984 03 27 12	43891.2	16.85	363.84	0	13.01	13.01	1038.25	0.65
1984 03 28 12	44236.8	12.94	278.27	0	16.34	16.34	1289.5	0.65
1984 03 29 12	44236.8	2.75	437.78	0	12.8	12.8	972.99	0.65
1984 03 30 12	44236.8	0.11	426.76	0	8.15	8.15	671.26	0.65
1984 03 31 12	44582.4	0.08	491.96	0	8.34	8.34	649.79	0.65
1984 04 01 12	44582.4	8.78	427.96	0	9.02	9.02	694.03	0.65
1984 04 02 12	44582.4	29.99	410.31	0	10.82	10.82	805.38	0.65
1984 04 03 12	44928	11.1	394.55	0	14.34	14.34	1030.24	0.65
1984 04 04 12	44928	0.96	399.17	0	16.23	16.23	1142.68	0.65
1984 04 05 12	45273.6	0.09	446.11	0	12.9	12.9	955.46	0.65
1984 04 06 12	45273.6	0	527.06	0	9.96	9.96	776.92	0.65
1984 04 07 12	45273.6	1.53	447.19	0	10.71	10.71	778.01	0.65
1984 04 08 12	45619.2	12.39	390.12	0	12.57	12.57	952	0.65
1984 04 09 12	45619.2	3.96	380.75	0	14.72	14.72	1191.21	0.65
1984 04 10 12	45619.2	0.04	418.23	0	14.92	14.92	1175.65	0.65
1984 04 11 12	45964.8	0.01	464.45	0	13.69	13.69	1049.94	0.65
1984 04 12 12	45964.8	0	546.68	0	14.18	14.18	1017.13	0.65
1984 04 13 12	45974.37	0.11	413.14	0	15.75	15.75	1138.38	0.65
1984 04 14 12	46310.4	0.04	529.84	0	17	17	1140.79	0.65
1984 04 15 12	46310.4	0.51	425.5	0	12.66	12.66	859.48	0.65
1984 04 16 12	46502.57	0.72	371.77	0	11.22	11.22	870.57	0.65
1984 04 17 12	46656	4.59	338.88	0	11.22	11.22	899.73	0.65
1984 04 18 12	46656	10	428.31	0	9.38	9.38	758.52	0.65
1984 04 19 12	46984.59	15.14	409.9	0	12.14	12.14	908.32	0.65
1984 04 20 12	47001.6	4.22	309.14	0	13.01	13.01	1125.45	0.65
1984 04 21 12	47001.6	8.06	392.89	0	18.06	18.06	1446.9	0.65
1984 04 22 12	47330.19	5.67	379.11	0	19.87	19.87	1474.5	0.65
1984 04 23 12	47347.2	1	530.18	0	14.84	14.84	1050.62	0.65
1984 04 24 12	47347.2	0	572.38	0	13.09	13.09	903.6	0.65
1984 04 25 12	47675.79	0	584.55	0	14.93	14.93	957.71	0.65
1984 04 26 12	47692.8	23.88	435.6	0	17.2	17.2	1130.99	0.65
1984 04 27 12	47692.8	18.26	389.79	0	19.54	19.54	1511	0.65
1984 04 28 12	47959.74	23.8	287.36	0	22.11	22.11	1940.77	0.65
1984 04 29 12	48038.4	6.83	270.04	0	20.82	20.82	1908.53	0.65
1984 04 30 12	48038.4	0.16	288.74	0	20.71	20.71	1772.54	0.65
1984 05 01 12	48161.31	12.74	423.46	0	14.99	14.99	1133.3	0.65
1984 05 02 12	48384	25.6	414.5	0	16.15	16.15	1222.04	0.65
1984 05 03 12	48384	14.39	371.75	0	18.93	18.93	1475.32	0.65
1984 05 04 12	48393.57	2.42	528.3	0	17.82	17.82	1349.71	0.65
1984 05 05 12	48729.6	0.16	440.87	0	17.98	17.98	1362.7	0.65
1984 05 06 12	48729.6	11.29	415.14	0	20.77	20.77	1643.16	0.65
1984 05 07 12	48729.6	14	369.01	0	24.08	24.08	1987.83	0.65
1984 05 08 12	48996.54	3.82	383.15	0	21.47	21.47	1605.71	0.65
1984 05 09 12	49075.2	0.13	579.72	0	13.65	13.65	956.31	0.65
1984 05 10 12	49075.2	0	599.66	0	13.58	13.58	904.62	0.65
1984 05 11 12	49084.77	0	595.89	0	16.2	16.2	1065.24	0.65
1984 05 12 12	49420.8	0	564.75	0	19.54	19.54	1362.72	0.65
1984 05 13 12	49420.8	0	550.76	0	21.05	21.05	1548.37	0.65
1984 05 14 12	49420.8	0	536.97	0	22.36	22.36	1645.79	0.65
1984 05 15 12	49481.41	0	536.33	0	20.12	20.12	1415.74	0.65
1984 05 16 12	49766.4	0	570.78	0	16.67	16.67	1115.14	0.65
1984 05 17 12	49766.4	0	598.14	0	15.73	15.73	1006.47	0.65
1984 05 18 12	49766.4	0	590.93	0	17.55	17.55	1136.12	0.65
1984 05 19 12	49775.97	1.89	460.12	0	19.27	19.27	1310.27	0.65
1984 05 20 12	50094.99	7.32	419.57	0	19.92	19.92	1448.15	0.65
1984 05 21 12	50112	6.32	373.52	0	20.91	20.91	1708.32	0.65
1984 05 22 12	50112	1.53	298.77	0	22.1	22.1	1936.78	0.65
1984 05 23 12	50112	0.2	374.08	0	21.2	21.2	1697.12	0.65
1984 05 24 12	50234.91	0.05	562.42	0	19.86	19.86	1461.89	0.65
1984 05 25 12	50457.6	4.36	432.01	0	21.78	21.78	1668.79	0.65
1984 05 26 12	50457.6	3.27	386.15	0	22.89	22.89	1849.16	0.65
1984 05 27 12	50457.6	8.42	386.83	0	23.73	23.73	1936.28	0.65
1984 05 28 12	50457.6	22.87	377.44	0	23.58	23.58	1843.58	0.65
1984 05 29 12	50467.17	6.75	556.95	0	20.01	20.01	1345.94	0.65
1984 05 30 12	50724.54	0	556.67	0	13.63	13.63	939.36	0.65
1984 05 31 12	50803.2	0	591.88	0	12.99	12.99	896.62	0.65
1984 06 01 12	50803.2	0	585.52	0	15.14	15.14	1017.2	0.65
1984 06 02 12	50803.2	0	586.71	0	17.42	17.42	1161.93	0.65
1984 06 03 12	50803.2	0	574.6	0	19.99	19.99	1356.5	0.65
1984 06 04 12	50803.2	0	563.91	0	21.67	21.67	1518.46	0.65
1984 06 05 12	50812.77	0	551	0	22.78	22.78	1647.03	0.65
1984 06 06 12	50995.38	0	536.08	0	23.04	23.04	1751.99	0.65
1984 06 07 12	51131.79	0	487.11	0	24.2	24.2	1958.59	0.65
1984 06 08 12	51148.8	0	502.44	0	24.52	24.52	1961.26	0.65
1984 06 09 12	51148.8	0	529.19	0	24.12	24.12	1849.66	0.65
1984 06 10 12	51148.8	0	532.97	0	23.9	23.9	1828.81	0.65
1984 06 11 12	51148.8	0	520.9	0	24.46	24.46	1929.91	0.65
1984 06 12 12	51148.8	0.71	413.97	0	25.18	25.18	2025.61	0.65
1984 06 13 12	51148.8	2.29	458.3	0	25.48	25.48	2028.83	0.65
1984 06 14 12	51148.8	1.96	400.67	0	25.66	25.66	2085.9	0.65
1984 06 15 12	51148.8	0.55	403.4	0	25.97	25.97	2130.75	0.65
1984 06 16 12	51148.8	0.04	510.27	0	25.55	25.55	2062.93	0.65
1984 06 17 12	51148.8	0	510.83	0	25.61	25.61	2055.86	0.65
1984 06 18 12	51148.8	0	524.07	0	25.41	25.41	2022.53	0.65
1984 06 19 12	51148.8	0.15	416.31	0	25.99	25.99	2122.4	0.65
1984 06 20 12	51148.8	6.03	395.36	0	26.97	26.97	2227.43	0.65
1984 06 21 12	51148.8	7.78	382.47	0	27.76	27.76	2344.56	0.65
1984 06 22 12	51148.8	10.53	373.73	0	27.41	27.41	2340.73	0.65
1984 06 23 12	51148.8	15	372.21	0	26.72	26.72	2273.24	0.65
1984 06 24 12	51148.8	4.07	462.07	0	26.18	26.18	2138.1	0.65
1984 06 25 12	51148.8	0.01	521.22	0	24.08	24.08	1825.1	0.65
1984 06 26 12	51148.8	0	547.6	0	22.4	22.4	1669.51	0.65
1984 06 27 12	51148.8	0.32	413.29	0	23.81	23.81	1891.75	0.65
1984 06 28 12	51148.8	9.59	385.03	0	24.79	24.79	2034.55	0.65
1984 06 29 12	51148.8	6.49	363.98	0	25.26	25.26	2114.43	0.65
1984 06 30 12	51148.8	3.55	346.81	0	23.91	23.91	1987.34	0.65
1984 07 01 12	51148.8	0.87	466.48	0	22.76	22.76	1796.8	0.65
1984 07 02 12	51148.8	0.02	513.17	0	23.6	23.6	1855.59	0.65
1984 07 03 12	51148.8	0	502.43	0	24.99	24.99	2052.8	0.65
1984 07 04 12	51070.14	3.27	367.2	0	26.45	26.45	2303.02	0.65
1984 07 05 12	50926.11	2.94	351.88	0	27.01	27.01	2367.23	0.65
1984 07 06 12	50803.2	13.45	371.56	0	25.84	25.84	2210.3	0.65
1984 07 07 12	50803.2	12.65	360.19	0	25.77	25.77	2189.67	0.65
1984 07 08 12	50803.2	2.79	502.38	0	25.05	25.05	2044.2	0.65
1984 07 09 12	50803.2	0	491.26	0	25.22	25.22	2101.95	0.65
1984 07 10 12	50803.2	0	501.67	0	26.71	26.71	2262.63	0.65
1984 07 11 12	50786.19	0.09	441.3	0	27.53	27.53	2408.79	0.65
1984 07 12 12	50580.52	16.43	353.53	0	27.86	27.86	2490.55	0.65
1984 07 13 12	50457.6	8.13	379.92	0	26.62	26.62	2353.05	0.65
1984 07 14 12	50457.6	1.15	355.77	0	26.21	26.21	2365.67	0.65
1984 07 15 12	50457.6	7.86	342.04	0	25.91	25.91	2383.99	0.65
1984 07 16 12	50457.6	13.61	323.88	0	26.82	26.82	2506.97	0.65
1984 07 17 12	50378.94	4.93	291.45	0	25.53	25.53	2396.6	0.65
1984 07 18 12	50121.57	0.42	423.7	0	25.09	25.09	2186.02	0.65
1984 07 19 12	50112	0	543.17	0	22.57	22.57	1730.86	0.65
1984 07 20 12	50112	0	543.35	0	23.08	23.08	1757.24	0.65
1984 07 21 12	50112	0	523.86	0	24.56	24.56	1942.69	0.65
1984 07 22 12	49958.57	0	514.78	0	25.61	25.61	2081.1	0.65
1984 07 23 12	49766.4	1.28	462.61	0	25.99	25.99	2163.55	0.65
1984 07 24 12	49766.4	3.11	364.73	0	25.94	25.94	2235.07	0.65
1984 07 25 12	49766.4	1.04	455.42	0	25.97	25.97	2208.88	0.65
1984 07 26 12	49687.74	1.17	396.33	0	26.31	26.31	2260.32	0.65
1984 07 27 12	49420.8	6.21	334.68	0	26.02	26.02	2308.66	0.65
1984 07 28 12	49420.8	4.08	298.62	0	24.38	24.38	2175.94	0.65
1984 07 29 12	49420.8	5.12	371.05	0	23.2	23.2	1955.22	0.65
1984 07 30 12	49267.38	3.37	346.21	0	23.08	23.08	1965.61	0.65
1984 07 31 12	49075.2	6.36	262.87	0	22.62	22.62	2074.86	0.65
1984 08 01 12	49075.2	11.4	282.42	0	23.53	23.53	2188.61	0.65
1984 08 02 12	49075.2	7.13	196.37	0	22.53	22.53	2156.45	0.65
1984 08 03 12	48739.17	8.93	283.75	0	22.63	22.63	2122.1	0.65
1984 08 04 12	48729.6	7.69	319.13	0	23.6	23.6	2139.33	0.65
1984 08 05 12	48729.6	2.41	363.92	0	24.44	24.44	2122.97	0.65
1984 08 06 12	48650.94	0.71	391.66	0	24.96	24.96	2122.68	0.65
1984 08 07 12	48384	0.21	484.59	0	24.94	24.94	2092.31	0.65
1984 08 08 12	48384	0.57	375.41	0	25.53	25.53	2193.09	0.65
1984 08 09 12	48384	2.56	352.56	0	24.64	24.64	2105.06	0.65
1984 08 10 12	48038.4	2.97	386.85	0	24.49	24.49	2034.44	0.65
1984 08 11 12	48038.4	2.13	389.9	0	25	25	2086.24	0.65
1984 08 12 12	48038.4	0.47	487.66	0	25.16	25.16	2097.65	0.65
1984 08 13 12	47692.8	1.2	366.68	0	25.31	25.31	2151.51	0.65
1984 08 14 12	47692.8	0.4	501.93	0	25.56	25.56	2087.31	0.65
1984 08 15 12	47692.8	0.09	429.33	0	24.9	24.9	2078.47	0.65
1984 08 16 12	47347.2	6.46	360.84	0	24.59	24.59	2106.77	0.65
1984 08 17 12	47347.2	2.14	493.06	0	25.54	25.54	2093.24	0.65
1984 08 18 12	47347.2	0.16	470.45	0	24.59	24.59	1948.82	0.65
1984 08 19 12	47001.6	2.77	391.92	0	25.12	25.12	2033.83	0.65
1984 08 20 12	47001.6	0.91	493.19	0	25.34	25.34	2045.07	0.65
1984 08 21 12	47001.6	0	503.04	0	25.22	25.22	2035.94	0.65
1984 08 22 12	46656	0.42	377.48	0	25.75	25.75	2126.97	0.65
1984 08 23 12	46656	0.14	490.33	0	25.88	25.88	2056.07	0.65
1984 08 24 12	46656	0	526.37	0	23.79	23.79	1740.96	0.65
1984 08 25 12	46310.4	3.88	432.45	0	22.42	22.42	1606.32	0.65
1984 08 26 12	46310.4	1.29	528.38	0	23.88	23.88	1751.32	0.65
1984 08 27 12	46310.4	0.13	462.95	0	25.38	25.38	2008.58	0.65
1984 08 28 12	45964.8	2.48	358.78	0	26.23	26.23	2253.47	0.65
1984 08 29 12	45964.8	9.76	341.25	0	26.18	26.18	2255.34	0.65
1984 08 30 12	45964.8	2.99	468.66	0	25.59	25.59	2096.21	0.65
1984 08 31 12	45619.2	0.22	388.34	0	25.21	25.21	2010.15	0.65
1984 09 01 12	45619.2	0.07	517.04	0	25.15	25.15	1825.53	0.65
1984 09 02 12	45334.21	0	524.27	0	25.01	25.01	1777.62	0.65
1984 09 03 12	45273.6	0.53	385.25	0	26.15	26.15	1975.26	0.65
1984 09 04 12	45273.6	0.18	477.93	0	24.53	24.53	1777.03	0.65
1984 09 05 12	44928	0	530.46	0	20.08	20.08	1340.62	0.65
1984 09 06 12	44928	0	530.32	0	20.01	20.01	1294.01	0.65
1984 09 07 12	44928	0	523.7	0	20.09	20.09	1322.7	0.65
1984 09 08 12	44582.4	0	506.69	0	21.13	21.13	1485.62	0.65
1984 09 09 12	44582.4	0.81	358.13	0	22.3	22.3	1716.8	0.65
1984 09 10 12	44582.4	2.31	326.46	0	22.67	22.67	1852.98	0.65
1984 09 11 12	44236.8	2.79	338.96	0	23.93	23.93	1939.19	0.65
1984 09 12 12	44236.8	0.7	486.78	0	25.03	25.03	1907.83	0.65
1984 09 13 12	43891.2	0	472.16	0	26.43	26.43	2020.32	0.65
1984 09 14 12	43891.2	0	476	0	26.21	26.21	1994.79	0.65
1984 09 15 12	43891.2	0	440.86	0	25.74	25.74	1930.1	0.65
1984 09 16 12	43545.6	0	491.31	0	20.11	20.11	1386.03	0.65
1984 09 17 12	43545.6	0	491.47	0	18.97	18.97	1287.53	0.65
1984 09 18 12	43545.6	0	474.44	0	19.14	19.14	1310.96	0.65
1984 09 19 12	43200	0	496.13	0	18.77	18.77	1227.92	0.65
1984 09 20 12	43200	0	508.84	0	18.54	18.54	1146.74	0.65
1984 09 21 12	42854.4	0	507.92	0	20.09	20.09	1234.73	0.65
1984 09 22 12	42854.4	0	485.99	0	22.25	22.25	1504.6	0.65
1984 09 23 12	42854.4	0	413.22	0	24.98	24.98	1914.26	0.65
1984 09 24 12	42508.8	0	441.33	0	24.47	24.47	1830.1	0.65
1984 09 25 12	42508.8	0	459.27	0	23.51	23.51	1658.16	0.65
1984 09 26 12	42508.8	0	466.32	0	23.3	23.3	1552.12	0.65
1984 09 27 12	42163.2	0	455.5	0	20.88	20.88	1393.41	0.65
1984 09 28 12	42163.2	0	440.75	0	19.88	19.88	1360.57	0.65
1984 09 29 12	41817.6	0.12	373.1	0	17.63	17.63	1215.93	0.65
1984 09 30 12	41817.6	0.15	354.49	0	16.44	16.44	1105.98	0.65
1984 10 01 12	41817.6	0.04	465.96	0	13.54	13.54	859.37	0.65
1984 10 02 12	41472	0	496.81	0	10.93	10.93	682.33	0.65
1984 10 03 12	41472	0	492.59	0	12.37	12.37	718.87	0.65
1984 10 04 12	41472	0	484.7	0	14.49	14.49	816.64	0.65
1984 10 05 12	41126.4	0	476.62	0	16.57	16.57	943.53	0.65
1984 10 06 12	41126.4	0.04	397.79	0	18.5	18.5	1163.22	0.65
1984 10 07 12	41065.79	3.95	275.76	0	21.59	21.59	1622.28	0.65
1984 10 08 12	40780.8	8.33	243.25	0	21.67	21.67	1769.24	0.65
1984 10 09 12	40780.8	3.5	226.38	0	20.1	20.1	1668.61	0.65
1984 10 10 12	40435.2	0.39	324.72	0	19.7	19.7	1585.59	0.65
1984 10 11 12	40435.2	0	360.45	0	20.42	20.42	1537.71	0.65
1984 10 12 12	40435.2	0	420.35	0	20.29	20.29	1365.77	0.65
1984 10 13 12	40089.6	0	429.12	0	20.14	20.14	1281.58	0.65
1984 10 14 12	40089.6	4.2	317.89	0	20.09	20.09	1320.05	0.65
1984 10 15 12	40089.6	15.02	301.72	0	20.88	20.88	1493.86	0.65
1984 10 16 12	39744	19.55	225.39	0	23.15	23.15	1910.74	0.65
1984 10 17 12	39744	6.06	235.97	0	22.3	22.3	1882.17	0.65
1984 10 18 12	39744	5.99	251.3	0	20.93	20.93	1734.77	0.65
1984 10 19 12	39398.4	5.82	240.53	0	22.17	22.17	1891.02	0.65
1984 10 20 12	39398.4	15.6	214.37	0	23.18	23.18	2044.85	0.65
1984 10 21 12	39398.4	40.26	190.33	0	22.26	22.26	2003.78	0.65
1984 10 22 12	39052.8	29.87	132.05	0	20.43	20.43	1932.35	0.65
1984 10 23 12	39052.8	16.63	141.15	0	19.91	19.91	1917.46	0.65
1984 10 24 12	39052.8	4.16	193.35	0	20.14	20.14	1867.97	0.65
1984 10 25 12	38707.2	0.21	303.3	0	20.89	20.89	1804.28	0.65
1984 10 26 12	38707.2	5.2	278.58	0	20.34	20.34	1617.38	0.65
1984 10 27 12	38707.2	4.56	267.3	0	20.16	20.16	1587.37	0.65
1984 10 28 12	38361.6	5.9	241.99	0	20.26	20.26	1710.8	0.65
1984 10 29 12	38361.6	1.65	268.89	0	21.74	21.74	1910.75	0.65
1984 10 30 12	38361.6	0	335.98	0	21.26	21.26	1760.79	0.65
1984 10 31 12	38016	6.15	280.83	0	21.03	21.03	1678.26	0.65
1984 11 01 12	38016	12.38	249.76	0	21.81	21.81	1753.48	0.65
1984 11 02 12	38016	5.21	213.63	0	19.05	19.05	1537.61	0.65
1984 11 03 12	37749.06	0.92	220.12	0	14.11	14.11	1206.81	0.65
1984 11 04 12	37670.4	0.27	276.84	0	14.03	14.03	1178.38	0.65
1984 11 05 12	37670.4	0.11	256.37	0	13.88	13.88	1137.12	0.65
1984 11 06 12	37660.83	0.02	376.19	0	11.96	11.96	889.09	0.65
1984 11 07 12	37324.8	0	383.63	0	9.31	9.31	697.11	0.65
1984 11 08 12	37324.8	0	385.04	0	8.75	8.75	674.41	0.65
1984 11 09 12	37324.8	6.69	295.97	0	10.64	10.64	796.98	0.65
1984 11 10 12	37132.62	9.05	265.89	0	13.33	13.33	969.6	0.65
1984 11 11 12	36979.2	2.28	334.82	0	12.57	12.57	935.96	0.65
1984 11 12 12	36979.2	0.01	292.76	0	8.35	8.35	752.87	0.65
1984 11 13 12	36979.2	0	351.04	0	5.05	5.05	583.77	0.65
1984 11 14 12	36712.26	4.71	282.64	0	5.46	5.46	553.67	0.65
1984 11 15 12	36633.6	7.71	276.82	0	8.24	8.24	651.29	0.65
1984 11 16 12	36633.6	3.04	325	0	10.81	10.81	743.05	0.65
1984 11 17 12	36633.6	3.89	261.42	0	8.99	8.99	707.48	0.65
1984 11 18 12	36441.43	5.16	263.4	0	8.78	8.78	751.87	0.65
1984 11 19 12	36288	1.94	288.31	0	13.28	13.28	966.71	0.65
1984 11 20 12	36288	0.23	225.46	0	9.62	9.62	824.93	0.65
1984 11 21 12	36288	0.01	274.05	0	4.98	4.98	626.41	0.65
1984 11 22 12	36278.43	0	328	0	3.12	3.12	507.92	0.65
1984 11 23 12	36021.06	0	343.39	0	4.01	4.01	497.01	0.65
1984 11 24 12	35942.4	0	350.62	0	4.37	4.37	485.54	0.65
1984 11 25 12	35942.4	0	351.41	0	6.68	6.68	553.09	0.65
1984 11 26 12	35942.4	9.35	263.67	0	9.84	9.84	735.85	0.65
1984 11 27 12	35942.4	38.14	217.49	0	14.32	14.32	1052.48	0.65
1984 11 28 12	35819.48	14.13	274.17	0	10.58	10.58	830.62	0.65
1984 11 29 12	35613.81	3.24	235.93	0	5.65	5.65	597.67	0.65
1984 11 30 12	35596.8	2.26	251.17	0	5.52	5.52	579.69	0.65
1984 12 01 12	35596.8	12.99	236.79	0	8.82	8.82	727.5	0.65
1984 12 02 12	35596.8	11.95	230.41	0	8.92	8.92	743.69	0.65
1984 12 03 12	35596.8	4.76	225.23	0	7.44	7.44	692.44	0.65
1984 12 04 12	35596.8	4.94	216.6	0	4.96	4.96	600.38	0.65
1984 12 05 12	35473.89	2.93	117.37	0	3.57	3.57	601.12	0.65
1984 12 06 12	35329.86	0.51	235.01	0	1.69	1.69	500.23	0.65
1984 12 07 12	35251.2	0	326.05	0	-1.99	-1.99	324.17	0.65
1984 12 08 12	35251.2	0	325.24	0	-0.54	-0.54	359.11	0.65
1984 12 09 12	35251.2	0	332.13	0	4.72	4.72	516.41	0.65
1984 12 10 12	35251.2	2.71	253.34	0	9.19	9.19	696.18	0.65
1984 12 11 12	35251.2	0.9	315.75	0	9.67	9.67	736.31	0.65
1984 12 12 12	35251.2	0.01	293.43	0	10.58	10.58	844.34	0.65
1984 12 13 12	35251.2	0.88	247.32	0	13.89	13.89	1104.27	0.65
1984 12 14 12	35251.2	0.29	280.75	0	15.31	15.31	1190.14	0.65
1984 12 15 12	35251.2	1.98	235.42	0	15.72	15.72	1168.4	0.65
1984 12 16 12	35251.2	0.66	261.61	0	15.29	15.29	1204.37	0.65
1984 12 17 12	35251.2	0.49	230.74	0	15.93	15.93	1290.21	0.65
1984 12 18 12	35251.2	2.11	184.1	0	15.74	15.74	1293.77	0.65
1984 12 19 12	35251.2	0.73	263.23	0	15.63	15.63	1228.85	0.65
1984 12 20 12	35251.2	0.67	208.44	0	16.32	16.32	1334.49	0.65
1984 12 21 12	35251.2	2.51	153.19	0	17.77	17.77	1522.13	0.65
1984 12 22 12	35251.2	1.28	202.2	0	15.19	15.19	1212.57	0.65
1984 12 23 12	35251.2	1.17	250.25	0	9.75	9.75	767.34	0.65
1984 12 24 12	35251.2	1.44	271.67	0	10.68	10.68	806.01	0.65
1984 12 25 12	35251.2	0.37	296.58	0	13.1	13.1	932.91	0.65
1984 12 26 12	35251.2	0.07	241.31	0	9.08	9.08	758.42	0.65
1984 12 27 12	35251.2	8.53	232.45	0	10.58	10.58	855.81	0.65
1984 12 28 12	35251.2	2.84	281.33	0	13.85	13.85	1073.3	0.65
1984 12 29 12	35251.2	0.05	264.24	0	15.67	15.67	1246.15	0.65
1984 12 30 12	35251.2	5.95	191.5	0	17.37	17.37	1434.22	0.65
1984 12 31 12	35251.2	8.65	204.06	0	17.34	17.34	1427.53	0.65
1985 01 01 12	35251.2	9.11	172.5	0	17.02	17.02	1376.75	0.65
1985 01 02 12	35251.2	5.29	227.57	0	10.88	10.88	874.45	0.65
1985 01 03 12	35268.21	2.62	91.23	0	4.54	4.54	632.23	0.65
1985 01 04 12	35404.62	0.84	175.91	0	-0.36	-0.36	450.23	0.65
1985 01 05 12	35536.19	0.1	248.76	0	-3.12	-3.12	347.44	0.65
1985 01 06 12	35596.8	0	326.93	0	-0.77	-0.77	369.29	0.65
1985 01 07 12	35596.8	0	323.47	0	1.26	1.26	414.48	0.65
1985 01 08 12	35596.8	0	325.8	0	2.89	2.89	473.67	0.65
1985 01 09 12	35596.8	3.71	243.45	0	3.84	3.84	524.12	0.65
1985 01 10 12	35596.8	3.16	231.1	0	5.25	5.25	605.07	0.65
1985 01 11 12	35675.46	0.64	289.43	0	5.27	5.27	600.8	0.65
1985 01 12 12	35932.83	0	204.84	0	-0.26	-0.26	425.55	0.65
1985 01 13 12	35942.4	0	308.35	0	-3.31	-3.31	326.09	0.65
1985 01 14 12	35942.4	0	333.57	0	-1.45	-1.45	357.61	0.65
1985 01 15 12	35942.4	0	329.81	0	1.57	1.57	436.49	0.65
1985 01 16 12	35942.4	16.09	230.31	0	0.79	0.79	444.45	0.65
1985 01 17 12	36165.09	5.47	169.51	0	1.54	1.54	511.8	0.65
1985 01 18 12	36288	0.12	262.27	0	1.21	1.21	479.02	0.65
1985 01 19 12	36288	0.67	266.03	0	3.6	3.6	476.09	0.65
1985 01 20 12	36288	0.28	331.58	0	-1	-1	246.11	0.65
1985 01 21 12	36305.01	0.02	382.99	0	-11.95	-11.95	115.59	0.65
1985 01 22 12	36624.03	0	405.93	0	-12.09	-12.09	133.63	0.65
1985 01 23 12	36633.6	0	406.7	0	-4.48	-4.48	251.64	0.65
1985 01 24 12	36633.6	0	381.93	0	1.32	1.32	394.78	0.65
1985 01 25 12	36633.6	0	377.66	0	3.38	3.38	420.15	0.65
1985 01 26 12	36918.59	1.63	326.93	0	0.15	0.15	305.43	0.65
1985 01 27 12	36979.2	3.12	310.09	0	-2.15	-2.15	292.54	0.65
1985 01 28 12	36979.2	1.6	296.19	0	-1.01	-1.01	355.73	0.65
1985 01 29 12	36979.2	8.2	307.81	0	-0.52	-0.52	376.54	0.65
1985 01 30 12	37315.23	33.37	318.04	0	1.76	1.76	472.22	0.65
1985 01 31 12	37324.8	28.88	247.59	0	6.64	6.64	691.1	0.65
1985 02 01 12	37324.8	10.63	274.77	0	4.67	4.67	578.57	0.65
1985 02 02 12	37403.46	1.97	248.9	0	-0.66	-0.66	391.77	0.65
1985 02 03 12	37670.4	9.76	207.09	0	-5	-5	305.28	0.65
1985 02 04 12	37670.4	19.44	218.82	0	-4.84	-4.84	338.15	0.65
1985 02 05 12	37670.4	9.8	314.74	0	0.54	0.54	478.03	0.65
1985 02 06 12	38006.43	1.46	341.87	0	3.99	3.99	567.95	0.65
1985 02 07 12	38016	0	346.3	0	0.02	0.02	419.93	0.65
1985 02 08 12	38016	0	439.69	0	-2.28	-2.28	327.31	0.65
1985 02 09 12	38238.69	8.61	357.36	0	-0.82	-0.82	350.44	0.65
1985 02 10 12	38361.6	12.98	368.6	0	2.71	2.71	439.15	0.65
1985 02 11 12	38361.6	12.49	359.8	0	7.85	7.85	600.78	0.65
1985 02 12 12	38440.26	3.04	434.32	0	3.64	3.64	470.66	0.65
1985 02 13 12	38707.2	0	421.91	0	0.23	0.23	399.92	0.65
1985 02 14 12	38707.2	0	462.99	0	1.11	1.11	406.21	0.65
1985 02 15 12	38724.21	0	463.21	0	1	1	380.21	0.65
1985 02 16 12	39052.8	0	483.91	0	-0.56	-0.56	328.63	0.65
