  33.71								
 165								
 577320463								
Year Mnth Day Hr	Dayl(s)	PRCP(mm/day)	SRAD(W/m2)	SWE(mm)	Tmax(C)	Tmin(C)	Vp(Pa)	DrainageDensity
1982 05 10 12	49075.2	0.04	582.96	0	19.87	19.87	1460.4	0.65
1982 05 11 12	49075.2	0	581.27	0	22.17	22.17	1691.32	0.65
1982 05 12 12	49084.77	0	582.71	0	22.37	22.37	1736.26	0.65
1982 05 13 12	49420.8	0	578.8	0	22.24	22.24	1781.06	0.65
1982 05 14 12	49420.8	0	450.8	0	21.24	21.24	1855.93	0.65
1982 05 15 12	49420.8	0	545.37	0	22.04	22.04	1968.22	0.65
1982 05 16 12	49481.41	0	536.78	0	24.23	24.23	2064.56	0.65
1982 05 17 12	49766.4	0.99	538.14	0	24.08	24.08	1930.71	0.65
1982 05 18 12	49766.4	0.04	501.94	0	23.93	23.93	1962.04	0.65
1982 05 19 12	49766.4	0.54	521.59	0	23.44	23.44	1988.23	0.65
1982 05 20 12	49775.97	4.55	344.36	0	23.76	23.76	2237.44	0.65
1982 05 21 12	50094.99	2.25	365.34	0	24.02	24.02	2420.2	0.65
1982 05 22 12	50112	2.47	460.25	0	25.43	25.43	2434.3	0.65
1982 05 23 12	50112	2.49	439.39	0	24.81	24.81	2376.23	0.65
1982 05 24 12	50112	0.15	355.74	0	24.92	24.92	2392.86	0.65
1982 05 25 12	50234.91	5.81	372	0	24.16	24.16	2397.35	0.65
1982 05 26 12	50457.6	7.39	357.49	0	24.15	24.15	2452.66	0.65
1982 05 27 12	50457.6	1.94	338	0	25.22	25.22	2704.61	0.65
1982 05 28 12	50457.6	0.02	469.02	0	27.47	27.47	2881.12	0.65
1982 05 29 12	50457.6	0	440.27	0	26.93	26.93	2768.1	0.65
1982 05 30 12	50467.17	5.19	448.13	0	27.65	27.65	2929.53	0.65
1982 05 31 12	50724.54	3.89	417.04	0	24.86	24.86	2628.44	0.65
1982 06 01 12	50803.2	5.85	515.04	0	24.63	24.63	2484.06	0.65
1982 06 02 12	50803.2	0.42	575.71	0	22.42	22.42	2041.5	0.65
1982 06 03 12	50803.2	13.23	376.73	0	25.16	25.16	2467.63	0.65
1982 06 04 12	50803.2	47.06	293.61	0	25.21	25.21	2667.38	0.65
1982 06 05 12	50803.2	3.63	581.18	0	25.28	25.28	2528.85	0.65
1982 06 06 12	50812.77	0	588.09	0	22.94	22.94	2161.21	0.65
1982 06 07 12	50995.38	0	582.18	0	24.61	24.61	2038.04	0.65
1982 06 08 12	51131.79	0	579.86	0	26.28	26.28	2315.34	0.65
1982 06 09 12	51148.8	0	570.33	0	26.02	26.02	2373.24	0.65
1982 06 10 12	51148.8	0.07	533.23	0	26.34	26.34	2543.63	0.65
1982 06 11 12	51148.8	0	578.22	0	23.73	23.73	2114.98	0.65
1982 06 12 12	51148.8	8.69	361.09	0	24.33	24.33	2244.69	0.65
1982 06 13 12	51148.8	13.47	330.16	0	25.24	25.24	2538.86	0.65
1982 06 14 12	51148.8	0.14	555.4	0	23.78	23.78	2170.35	0.65
1982 06 15 12	51148.8	0.02	415.74	0	26.05	26.05	2463.45	0.65
1982 06 16 12	51148.8	5.28	399.32	0	24.99	24.99	2554.31	0.65
1982 06 17 12	51148.8	10.08	305.36	0	23.43	23.43	2331.77	0.65
1982 06 18 12	51148.8	0.29	482.43	0	24.6	24.6	2326.97	0.65
1982 06 19 12	51148.8	0.2	490.54	0	25.76	25.76	2286.26	0.65
1982 06 20 12	51148.8	0.22	518.44	0	25.15	25.15	2340.39	0.65
1982 06 21 12	51148.8	1.23	428.82	0	25.75	25.75	2382.41	0.65
1982 06 22 12	51148.8	4.53	390.11	0	25.16	25.16	2511.11	0.65
1982 06 23 12	51148.8	0.01	548.19	0	25.81	25.81	2300.46	0.65
1982 06 24 12	51148.8	0	578.91	0	25.09	25.09	2126.2	0.65
1982 06 25 12	51148.8	0.06	556.4	0	25.54	25.54	2131.51	0.65
1982 06 26 12	51148.8	9.14	384.94	0	25.75	25.75	2518.59	0.65
1982 06 27 12	51148.8	17.09	281.4	0	24.32	24.32	2593.14	0.65
1982 06 28 12	51148.8	17.81	315.67	0	24.55	24.55	2607.62	0.65
1982 06 29 12	51148.8	11.79	303.24	0	24.74	24.74	2615.28	0.65
1982 06 30 12	51148.8	1.19	356.36	0	26.05	26.05	2760.76	0.65
1982 07 01 12	51148.8	4.83	550.39	0	26.64	26.64	2644.95	0.65
1982 07 02 12	51148.8	0.01	436.18	0	28.02	28.02	2788.57	0.65
1982 07 03 12	51148.8	1.75	637.2	0	27.86	27.86	2637.18	0.65
1982 07 04 12	51148.8	1.04	572.5	0	27.44	27.44	2720.86	0.65
1982 07 05 12	51070.14	0.18	565.69	0	29.1	29.1	2749.21	0.65
1982 07 06 12	50926.11	0.09	385.07	0	29.36	29.36	2827.08	0.65
1982 07 07 12	50803.2	0.16	466.14	0	27.75	27.75	2780.51	0.65
1982 07 08 12	50803.2	0.34	422.68	0	27.56	27.56	2846.85	0.65
1982 07 09 12	50803.2	3.73	382.35	0	26.76	26.76	2810.3	0.65
1982 07 10 12	50803.2	7.26	346.06	0	26.62	26.62	2813.91	0.65
1982 07 11 12	50803.2	8.72	353.24	0	26.25	26.25	2824.44	0.65
1982 07 12 12	50786.19	6.02	378.86	0	25.85	25.85	2703.46	0.65
1982 07 13 12	50580.52	11.89	474.19	0	26.86	26.86	2637.27	0.65
1982 07 14 12	50457.6	1.65	363.1	0	26.76	26.76	2760.29	0.65
1982 07 15 12	50457.6	1.77	400.46	0	26.04	26.04	2640.85	0.65
1982 07 16 12	50457.6	13.67	355.57	0	26.53	26.53	2754.8	0.65
1982 07 17 12	50457.6	2.66	401.26	0	26.15	26.15	2666.02	0.65
1982 07 18 12	50378.94	4.38	366.14	0	26.7	26.7	2792.72	0.65
1982 07 19 12	50121.57	2.15	394.61	0	27.23	27.23	2833.34	0.65
1982 07 20 12	50112	3.93	425.92	0	27.37	27.37	2818.84	0.65
1982 07 21 12	50112	1.95	522.01	0	28.89	28.89	2823.18	0.65
1982 07 22 12	50112	16.92	346.86	0	28.95	28.95	2961.56	0.65
1982 07 23 12	49958.57	10.15	377.28	0	27.26	27.26	2971.91	0.65
1982 07 24 12	49766.4	2.56	359.47	0	26.65	26.65	2696.96	0.65
1982 07 25 12	49766.4	0.56	372.22	0	26.16	26.16	2683.21	0.65
1982 07 26 12	49766.4	0	336.37	0	26.73	26.73	2821.55	0.65
1982 07 27 12	49687.74	0	400.43	0	28.06	28.06	2947.01	0.65
1982 07 28 12	49420.8	1.53	348.64	0	28.2	28.2	2992.85	0.65
1982 07 29 12	49420.8	6.2	360.8	0	27.04	27.04	2832.63	0.65
1982 07 30 12	49420.8	15.43	334.3	0	26.54	26.54	2859.19	0.65
1982 07 31 12	49267.38	28.05	262.9	0	24.78	24.78	2730.7	0.65
1982 08 01 12	49075.2	1.75	427.12	0	25.6	25.6	2642.53	0.65
1982 08 02 12	49075.2	0.11	410.63	0	26.49	26.49	2793.67	0.65
1982 08 03 12	49075.2	0	587.64	0	28.55	28.55	2832.92	0.65
1982 08 04 12	48739.17	0	576.44	0	28.68	28.68	2493.22	0.65
1982 08 05 12	48729.6	0	530.8	0	29.51	29.51	2558.84	0.65
1982 08 06 12	48729.6	14.37	374.19	0	28.83	28.83	2838.22	0.65
1982 08 07 12	48650.94	0.48	311.03	0	25.59	25.59	2547.78	0.65
1982 08 08 12	48384	2.78	361.96	0	25.52	25.52	2610.04	0.65
1982 08 09 12	48384	0.96	333.6	0	25.61	25.61	2627.76	0.65
1982 08 10 12	48384	3.23	356.94	0	26.34	26.34	2711.8	0.65
1982 08 11 12	48038.4	6.73	418.6	0	27.05	27.05	2763.59	0.65
1982 08 12 12	48038.4	0.78	295.68	0	26.34	26.34	2620.86	0.65
1982 08 13 12	48038.4	0.05	467.47	0	25.38	25.38	2568.64	0.65
1982 08 14 12	47692.8	4.06	336.63	0	26.77	26.77	2726.95	0.65
1982 08 15 12	47692.8	0.67	253.98	0	26.6	26.6	2848.22	0.65
1982 08 16 12	47692.8	12.76	320.29	0	25.99	25.99	2710.46	0.65
1982 08 17 12	47347.2	15.89	287.87	0	25.73	25.73	2684.31	0.65
1982 08 18 12	47347.2	2.78	334.4	0	25.88	25.88	2604.51	0.65
1982 08 19 12	47347.2	0.04	518.23	0	26.71	26.71	2524.94	0.65
1982 08 20 12	47001.6	0.78	447.05	0	26.62	26.62	2550.16	0.65
1982 08 21 12	47001.6	2.98	365.55	0	27.21	27.21	2681.97	0.65
1982 08 22 12	47001.6	0.12	335.43	0	26.71	26.71	2536.5	0.65
1982 08 23 12	46656	0	517.61	0	27.73	27.73	2693	0.65
1982 08 24 12	46656	0	341.34	0	28.28	28.28	3026.31	0.65
1982 08 25 12	46656	0	496.41	0	28.05	28.05	2907.99	0.65
1982 08 26 12	46310.4	0	509.02	0	28.47	28.47	2722.11	0.65
1982 08 27 12	46310.4	0	533.05	0	29.3	29.3	2843.03	0.65
1982 08 28 12	46310.4	4.13	451.07	0	28.99	28.99	2724.64	0.65
1982 08 29 12	45964.8	0.08	535.98	0	27.22	27.22	2622.65	0.65
1982 08 30 12	45964.8	0.7	287.38	0	26.73	26.73	2755	0.65
1982 08 31 12	45964.8	0.01	318.38	0	26.34	26.34	2728.54	0.65
1982 09 01 12	45619.2	1.59	297.95	0	27.02	27.02	2798.79	0.65
1982 09 02 12	45619.2	7.5	294.08	0	27.22	27.22	2788.13	0.65
1982 09 03 12	45334.21	0.96	378.02	0	26.35	26.35	2526.33	0.65
1982 09 04 12	45273.6	0	548.1	0	20.48	20.48	1683.73	0.65
1982 09 05 12	45273.6	0	513.17	0	23.2	23.2	1970.23	0.65
1982 09 06 12	44928	0	476.73	0	25.85	25.85	2358.16	0.65
1982 09 07 12	44928	0	534.47	0	24.64	24.64	2036.49	0.65
1982 09 08 12	44928	0	532.13	0	23.69	23.69	1923.44	0.65
1982 09 09 12	44582.4	0.37	507.19	0	23.13	23.13	2056.31	0.65
1982 09 10 12	44582.4	1.18	397.44	0	22.66	22.66	2249.26	0.65
1982 09 11 12	44582.4	0.32	416.19	0	23.67	23.67	2390.32	0.65
1982 09 12 12	44236.8	0.4	336.24	0	25.96	25.96	2645.99	0.65
1982 09 13 12	44236.8	0.29	299.39	0	26.34	26.34	2711.31	0.65
1982 09 14 12	43891.2	0.2	292.19	0	26.92	26.92	2777.32	0.65
1982 09 15 12	43891.2	3.48	333.43	0	27.67	27.67	2699.25	0.65
1982 09 16 12	43891.2	0.04	357.56	0	25.78	25.78	2507.23	0.65
1982 09 17 12	43545.6	0	445.18	0	25.4	25.4	2351.16	0.65
1982 09 18 12	43545.6	0	416.98	0	27.03	27.03	2425.57	0.65
1982 09 19 12	43545.6	0.02	484.52	0	24.15	24.15	2175.04	0.65
1982 09 20 12	43200	0.28	388.9	0	20.32	20.32	1653.75	0.65
1982 09 21 12	43200	0.03	410.63	0	17.34	17.34	1451.51	0.65
1982 09 22 12	42854.4	0	467.7	0	12.78	12.78	1048.7	0.65
1982 09 23 12	42854.4	0	518.26	0	14.86	14.86	1083.36	0.65
1982 09 24 12	42854.4	0.77	401.02	0	17	17	1157.99	0.65
1982 09 25 12	42508.8	4.4	448.82	0	18.58	18.58	1440.62	0.65
1982 09 26 12	42508.8	1.97	337.01	0	19.05	19.05	1537.74	0.65
1982 09 27 12	42508.8	0.02	492.69	0	19.35	19.35	1480.72	0.65
1982 09 28 12	42163.2	0.02	501.48	0	19.66	19.66	1454.48	0.65
1982 09 29 12	42163.2	0	455.79	0	21.3	21.3	1671.34	0.65
1982 09 30 12	41817.6	0	325.24	0	22.88	22.88	1797.55	0.65
1982 10 01 12	41817.6	0	364.73	0	22.78	22.78	1766.75	0.65
1982 10 02 12	41817.6	0	453.01	0	23.3	23.3	1753	0.65
1982 10 03 12	41472	0	439.16	0	23.31	23.31	1779.86	0.65
1982 10 04 12	41472	0	460.49	0	23.53	23.53	1862.66	0.65
1982 10 05 12	41472	4.28	312.56	0	25.36	25.36	2391.96	0.65
1982 10 06 12	41126.4	6.09	315.75	0	24.75	24.75	2416.84	0.65
1982 10 07 12	41126.4	34.35	235.75	0	24.07	24.07	2531.74	0.65
1982 10 08 12	41065.79	19.27	210.36	0	23.21	23.21	2471.78	0.65
1982 10 09 12	40780.8	7.02	282.01	0	24.96	24.96	2629.26	0.65
1982 10 10 12	40780.8	6.3	364.74	0	25.59	25.59	2576.55	0.65
1982 10 11 12	40435.2	0.04	425.26	0	21.44	21.44	1670.07	0.65
1982 10 12 12	40435.2	21.41	148.47	0	17.01	17.01	1575.91	0.65
1982 10 13 12	40435.2	12.78	258.02	0	16.24	16.24	1652.81	0.65
1982 10 14 12	40089.6	0	486.36	0	15.81	15.81	1280.95	0.65
1982 10 15 12	40089.6	0	485.23	0	14.2	14.2	1059.96	0.65
1982 10 16 12	40089.6	0	482.01	0	14.43	14.43	1059.32	0.65
1982 10 17 12	39744	0	439.27	0	11.96	11.96	856.31	0.65
1982 10 18 12	39744	0	314.27	0	15.04	15.04	1156.37	0.65
1982 10 19 12	39744	0	430.38	0	16.1	16.1	1381.89	0.65
1982 10 20 12	39398.4	0.45	365.18	0	18.19	18.19	1635.1	0.65
1982 10 21 12	39398.4	0	464.97	0	13.8	13.8	1188.01	0.65
1982 10 22 12	39398.4	0	376.62	0	10.7	10.7	889.86	0.65
1982 10 23 12	39052.8	0	462.44	0	9.95	9.95	869.9	0.65
1982 10 24 12	39052.8	0	468.85	0	10.07	10.07	776.64	0.65
1982 10 25 12	39052.8	0	454.67	0	9.83	9.83	752.25	0.65
1982 10 26 12	38707.2	0	461.09	0	11.08	11.08	732.39	0.65
1982 10 27 12	38707.2	0	452.17	0	13.19	13.19	788.17	0.65
1982 10 28 12	38707.2	0	444.8	0	13.19	13.19	898.96	0.65
1982 10 29 12	38361.6	0	241.5	0	14.62	14.62	1201.83	0.65
1982 10 30 12	38361.6	0	170.22	0	18.89	18.89	1712.61	0.65
1982 10 31 12	38361.6	1.3	324.06	0	20.79	20.79	1758.04	0.65
1982 11 01 12	38016	7.44	368.45	0	21.74	21.74	1922.75	0.65
1982 11 02 12	38016	2.53	255.78	0	21.16	21.16	1995.48	0.65
1982 11 03 12	38016	14.94	186.52	0	19.73	19.73	1929.62	0.65
1982 11 04 12	37749.06	2.84	399	0	9.22	9.22	883.67	0.65
1982 11 05 12	37670.4	0	396.36	0	3.75	3.75	458.55	0.65
1982 11 06 12	37670.4	0	379.77	0	5.43	5.43	472.86	0.65
1982 11 07 12	37660.83	0	382.54	0	7.79	7.79	565.56	0.65
1982 11 08 12	37324.8	0	364.97	0	9.74	9.74	667.53	0.65
1982 11 09 12	37324.8	0	348.67	0	12.6	12.6	820.72	0.65
1982 11 10 12	37324.8	0	372.06	0	14.01	14.01	917.79	0.65
1982 11 11 12	37132.62	0	342.74	0	14.97	14.97	1103.35	0.65
1982 11 12 12	36979.2	9.62	147.82	0	16.66	16.66	1614.08	0.65
1982 11 13 12	36979.2	0.14	377.68	0	6.55	6.55	637.48	0.65
1982 11 14 12	36979.2	0	332.38	0	5.3	5.3	552.25	0.65
1982 11 15 12	36712.26	0	374.84	0	4.99	4.99	550.7	0.65
1982 11 16 12	36633.6	0.91	357.49	0	4.96	4.96	596.33	0.65
1982 11 17 12	36633.6	4.37	78.77	0	9.2	9.2	1064.05	0.65
1982 11 18 12	36633.6	11.44	179.73	0	13.11	13.11	1387.87	0.65
1982 11 19 12	36441.43	15.59	163.74	0	15.31	15.31	1635.65	0.65
1982 11 20 12	36288	7.72	145.56	0	17.49	17.49	1770.97	0.65
1982 11 21 12	36288	19.75	125.06	0	16.03	16.03	1667.17	0.65
1982 11 22 12	36288	1.25	255.08	0	16.99	16.99	1701.42	0.65
1982 11 23 12	36278.43	17.43	185.06	0	19.79	19.79	1955.7	0.65
1982 11 24 12	36021.06	2.32	342.56	0	11.7	11.7	1160.37	0.65
1982 11 25 12	35942.4	0	303.75	0	4.86	4.86	583.58	0.65
1982 11 26 12	35942.4	2.45	189.62	0	11.16	11.16	1112.35	0.65
1982 11 27 12	35942.4	10.39	94.89	0	15.88	15.88	1655.76	0.65
1982 11 28 12	35942.4	28.88	76.9	0	17.3	17.3	1863.26	0.65
1982 11 29 12	35819.48	10.19	208.58	0	13.4	13.4	1383.07	0.65
1982 11 30 12	35613.81	10.06	132.77	0	12.29	12.29	1278.71	0.65
1982 12 01 12	35596.8	45.96	206.21	0	18.33	18.33	1925.89	0.65
1982 12 02 12	35596.8	0.65	231.4	0	21.16	21.16	2173.36	0.65
1982 12 03 12	35596.8	7.16	204.97	0	20.7	20.7	2072.54	0.65
1982 12 04 12	35596.8	29.21	134.26	0	17.63	17.63	1866.21	0.65
1982 12 05 12	35596.8	8.73	313.82	0	16.04	16.04	1527.77	0.65
1982 12 06 12	35473.89	0	280.82	0	10.58	10.58	962.3	0.65
1982 12 07 12	35329.86	0	320.93	0	9.02	9.02	863.4	0.65
1982 12 08 12	35251.2	0.01	256.03	0	9.79	9.79	962.81	0.65
1982 12 09 12	35251.2	0.95	260.13	0	11.85	11.85	1083.65	0.65
1982 12 10 12	35251.2	6.58	95.24	0	8.1	8.1	949.44	0.65
1982 12 11 12	35251.2	47.35	71.34	0	10.73	10.73	1231	0.65
1982 12 12 12	35251.2	5.42	322.43	0	2.39	2.39	600.53	0.65
1982 12 13 12	35251.2	0.11	316.32	0	0.51	0.51	433.62	0.65
1982 12 14 12	35251.2	0	230.57	0	3.94	3.94	590.36	0.65
1982 12 15 12	35251.2	35.56	116.8	0	11.02	11.02	1215.88	0.65
1982 12 16 12	35251.2	3.69	273.66	0	6.41	6.41	814.87	0.65
1982 12 17 12	35251.2	0	318.77	0	1.93	1.93	541.39	0.65
1982 12 18 12	35251.2	0.14	309.97	0	3.38	3.38	568.72	0.65
1982 12 19 12	35251.2	0.51	312.88	0	8.06	8.06	823.2	0.65
1982 12 20 12	35251.2	0	313.88	0	5.7	5.7	644.1	0.65
1982 12 21 12	35251.2	0.01	313.72	0	5.64	5.64	622.67	0.65
1982 12 22 12	35251.2	1.86	146.73	0	8.17	8.17	876.71	0.65
1982 12 23 12	35251.2	1.8	288.34	0	14.09	14.09	1311.73	0.65
1982 12 24 12	35251.2	4.53	125.02	0	15.25	15.25	1565.04	0.65
1982 12 25 12	35251.2	1.13	186.3	0	19.33	19.33	1962.38	0.65
1982 12 26 12	35251.2	5.88	184.4	0	19.63	19.63	1980.69	0.65
1982 12 27 12	35251.2	2.13	187.54	0	18.75	18.75	1839.45	0.65
1982 12 28 12	35251.2	12.12	293.87	0	14.98	14.98	1435.52	0.65
1982 12 29 12	35251.2	0	300.01	0	6.74	6.74	797.72	0.65
1982 12 30 12	35251.2	0.08	291.74	0	2.81	2.81	558.27	0.65
1982 12 31 12	35251.2	0.01	226.21	0	4.33	4.33	648.02	0.65
1983 01 01 12	35251.2	7.25	135.7	0	6.7	6.7	880.91	0.65
1983 01 02 12	35251.2	18.65	141.59	0	9.06	9.06	1068.84	0.65
1983 01 03 12	35268.21	0.12	312.72	0	4.1	4.1	695.05	0.65
1983 01 04 12	35404.62	0	312.17	0	2.98	2.98	571.47	0.65
1983 01 05 12	35536.19	0	296.57	0	6.27	6.27	708.31	0.65
1983 01 06 12	35596.8	0	283.98	0	7.56	7.56	811.64	0.65
1983 01 07 12	35596.8	0	273.96	0	7.75	7.75	891.53	0.65
1983 01 08 12	35596.8	14.9	75.64	0	8.29	8.29	953.84	0.65
1983 01 09 12	35596.8	11.9	92.56	0	10.2	10.2	1177.64	0.65
1983 01 10 12	35596.8	2.9	242.32	0	11.18	11.18	1159.86	0.65
1983 01 11 12	35675.46	0.04	320.14	0	7.3	7.3	792.92	0.65
1983 01 12 12	35932.83	0	269.84	0	1.84	1.84	476.22	0.65
1983 01 13 12	35942.4	0	322.96	0	2.28	2.28	495.78	0.65
1983 01 14 12	35942.4	0	318.85	0	5.72	5.72	725.03	0.65
1983 01 15 12	35942.4	0	313.15	0	3.88	3.88	629.43	0.65
1983 01 16 12	35942.4	0	333.73	0	0.47	0.47	453.92	0.65
1983 01 17 12	36165.09	0	332.38	0	2.16	2.16	487.02	0.65
1983 01 18 12	36288	0	336.4	0	-1.03	-1.03	390.74	0.65
1983 01 19 12	36288	0.05	316.47	0	-0.83	-0.83	306.77	0.65
1983 01 20 12	36288	25.77	105.77	0	-1.33	-1.33	456.68	0.65
1983 01 21 12	36305.01	11.76	165.31	0	0.99	0.99	596.23	0.65
1983 01 22 12	36624.03	0.79	149.43	0	3.3	3.3	727.07	0.65
1983 01 23 12	36633.6	0.15	139.71	0	4.87	4.87	760.03	0.65
1983 01 24 12	36633.6	0	265.5	0	3.93	3.93	663.24	0.65
1983 01 25 12	36633.6	0	283.59	0	6.4	6.4	721.83	0.65
1983 01 26 12	36918.59	3.88	113.89	0	6.38	6.38	797.61	0.65
1983 01 27 12	36979.2	10.34	85.62	0	6.26	6.26	868.35	0.65
1983 01 28 12	36979.2	0	341.24	0	5.71	5.71	724.95	0.65
1983 01 29 12	36979.2	4.86	210.76	0	7.22	7.22	903.62	0.65
1983 01 30 12	37315.23	2.04	351.47	0	11.03	11.03	1147.55	0.65
1983 01 31 12	37324.8	0.03	332.7	0	11.46	11.46	1007.61	0.65
1983 02 01 12	37324.8	65.1	157.06	0	13.57	13.57	1435.97	0.65
1983 02 02 12	37403.46	15.65	191.69	0	11.44	11.44	1270.32	0.65
1983 02 03 12	37670.4	0	203.58	0	1.88	1.88	579.75	0.65
1983 02 04 12	37670.4	0.72	257.6	0	0.42	0.42	493.18	0.65
1983 02 05 12	37670.4	18.46	155.2	0	1.42	1.42	541.49	0.65
1983 02 06 12	38006.43	14.26	304.82	0	5.08	5.08	798.12	0.65
1983 02 07 12	38016	0	315.69	0	3.92	3.92	662.88	0.65
1983 02 08 12	38016	7.38	194.48	0	0.24	0.24	477.56	0.65
1983 02 09 12	38238.69	8.97	123.58	0	2.31	2.31	599.38	0.65
1983 02 10 12	38361.6	23.3	96.34	0	6.52	6.52	925.89	0.65
1983 02 11 12	38361.6	0.47	374.44	0	8.79	8.79	994.52	0.65
1983 02 12 12	38440.26	0	301.24	0	7.31	7.31	823.96	0.65
1983 02 13 12	38707.2	0	288.19	0	6.81	6.81	754.17	0.65
1983 02 14 12	38707.2	0	399.7	0	7.27	7.27	726.13	0.65
1983 02 15 12	38724.21	0	399.61	0	8.37	8.37	676.77	0.65
1983 02 16 12	39052.8	0.62	330.75	0	9.3	9.3	779.57	0.65
1983 02 17 12	39052.8	1.1	407.17	0	10.25	10.25	872.7	0.65
1983 02 18 12	39069.81	0	407.66	0	8.2	8.2	712.49	0.65
1983 02 19 12	39398.4	0	404.78	0	10.57	10.57	778.98	0.65
1983 02 20 12	39398.4	1.97	400.29	0	12.1	12.1	1005.64	0.65
1983 02 21 12	39415.41	2.31	338.39	0	14.14	14.14	1212.68	0.65
1983 02 22 12	39744	40.31	179.18	0	12.36	12.36	1244.55	0.65
1983 02 23 12	39744	1.17	252.45	0	12.24	12.24	1250.51	0.65
1983 02 24 12	39897.43	11.69	144.64	0	10.93	10.93	1138.52	0.65
1983 02 25 12	40089.6	0.34	402.29	0	6.96	6.96	802.18	0.65
1983 02 26 12	40089.6	0	439.25	0	2.85	2.85	493.93	0.65
1983 02 27 12	40425.63	2.69	328.56	0	4.59	4.59	580.06	0.65
1983 02 28 12	40435.2	37.12	109.12	0	6.11	6.11	860.14	0.65
1983 03 01 12	40435.2	2.58	461.57	0	11.14	11.14	1026.26	0.65
1983 03 02 12	40780.8	0	456.75	0	13.66	13.66	1126.57	0.65
1983 03 03 12	40780.8	0.02	352.51	0	16.91	16.91	1484.7	0.65
1983 03 04 12	40780.8	4.4	416.64	0	17.85	17.85	1542.33	0.65
1983 03 05 12	41126.4	66.38	225.86	0	14.87	14.87	1544.62	0.65
1983 03 06 12	41126.4	12.4	469.21	0	17.44	17.44	1625.28	0.65
1983 03 07 12	41126.4	0.99	465.31	0	16.39	16.39	1365.14	0.65
1983 03 08 12	41472	0.54	429.16	0	14.31	14.31	1161.91	0.65
1983 03 09 12	41472	0	256.87	0	8.67	8.67	846.46	0.65
1983 03 10 12	41817.6	0	127.81	0	2.21	2.21	556.33	0.65
1983 03 11 12	41817.6	0	398.62	0	1.6	1.6	531.67	0.65
1983 03 12 12	41817.6	0	485.05	0	3.45	3.45	612.36	0.65
1983 03 13 12	42163.2	0.04	489.74	0	6.74	6.74	708.07	0.65
1983 03 14 12	42163.2	0.05	431.98	0	11.53	11.53	1031.56	0.65
1983 03 15 12	42163.2	0	465.48	0	15.93	15.93	1303.13	0.65
1983 03 16 12	42508.8	5.22	125.79	0	13.86	13.86	1352.49	0.65
1983 03 17 12	42508.8	1.94	127.1	0	11.64	11.64	1249.51	0.65
1983 03 18 12	42844.83	4.67	174.4	0	12.63	12.63	1368.55	0.65
1983 03 19 12	42854.4	4.1	452.7	0	13.05	13.05	1234.75	0.65
1983 03 20 12	42854.4	14.7	147.85	0	11.9	11.9	1264.44	0.65
1983 03 21 12	43200	1.05	260.93	0	7.17	7.17	865.86	0.65
1983 03 22 12	43200	0	387.05	0	4.5	4.5	625.31	0.65
1983 03 23 12	43200	2	424.91	0	6.92	6.92	671.6	0.65
1983 03 24 12	43545.6	12.12	397.2	0	6.91	6.91	765.8	0.65
1983 03 25 12	43545.6	0.06	525.31	0	6.12	6.12	611.65	0.65
1983 03 26 12	43555.17	16.34	191.81	0	7.23	7.23	857.28	0.65
1983 03 27 12	43891.2	5.51	490.84	0	12.02	12.02	1164.74	0.65
1983 03 28 12	43891.2	0	375.05	0	7.74	7.74	794.99	0.65
1983 03 29 12	44236.8	0	502.32	0	7.41	7.41	767.12	0.65
1983 03 30 12	44236.8	0.59	188.73	0	9.26	9.26	908.12	0.65
1983 03 31 12	44236.8	1.7	341.79	0	11.22	11.22	1160.24	0.65
1983 04 01 12	44582.4	5.07	487.84	0	13.25	13.25	1245.05	0.65
1983 04 02 12	44582.4	16.97	231.12	0	10.7	10.7	1105.55	0.65
1983 04 03 12	44582.4	0.1	419.71	0	9.8	9.8	912.15	0.65
1983 04 04 12	44928	0.03	495.93	0	12.31	12.31	967.54	0.65
1983 04 05 12	44928	35.03	253.78	0	15.49	15.49	1464.63	0.65
1983 04 06 12	45273.6	21.36	284.91	0	19.71	19.71	2062.53	0.65
1983 04 07 12	45273.6	13.42	283.12	0	17.72	17.72	1837.87	0.65
1983 04 08 12	45273.6	17.41	309.69	0	13.01	13.01	1424.62	0.65
1983 04 09 12	45619.2	2.26	436.91	0	15.75	15.75	1512.79	0.65
1983 04 10 12	45619.2	0	391.31	0	10.87	10.87	957.69	0.65
1983 04 11 12	45619.2	0	524.39	0	12.92	12.92	955.29	0.65
1983 04 12 12	45964.8	0.09	495.29	0	16.01	16.01	1237.51	0.65
1983 04 13 12	45964.8	10.18	403.51	0	16.64	16.64	1482.37	0.65
1983 04 14 12	45974.37	43.9	376.03	0	17.44	17.44	1667.97	0.65
1983 04 15 12	46310.4	0.04	457.85	0	10.23	10.23	972.69	0.65
1983 04 16 12	46310.4	0	536.06	0	8.17	8.17	710.18	0.65
1983 04 17 12	46502.57	0.7	525.84	0	10.39	10.39	822.52	0.65
1983 04 18 12	46656	9.1	384.79	0	11.24	11.24	1009.53	0.65
1983 04 19 12	46656	0	504.68	0	4.94	4.94	631.89	0.65
1983 04 20 12	46984.59	0.09	534.3	0	6.98	6.98	668.08	0.65
1983 04 21 12	47001.6	1.17	507.68	0	8.85	8.85	723.39	0.65
1983 04 22 12	47001.6	33.31	225	0	10.76	10.76	1138.32	0.65
1983 04 23 12	47330.19	38.27	355.78	0	16.21	16.21	1604.89	0.65
